id,title_romaji,title_english,episodes,status,average_score,popularity,favourites,genres,studios,source,season,start_date,end_date
1,Cowboy Bebop,Cowboy Bebop,26.0,FINISHED,86.0,372252,24316,"Action, Adventure, Drama, Sci-Fi","Sunrise, Bandai Visual, Bandai Entertainment",ORIGINAL,SPRING,1998-4-3,1999-4-24
6,TRIGUN,Trigun,26.0,FINISHED,80.0,133477,5274,"Action, Adventure, Comedy, Drama, Sci-Fi","MADHOUSE, Nippon Victor, Arts Pro, Funimation",MANGA,SPRING,1998-4-1,1998-9-30
7,Witch Hunter ROBIN,Witch Hunter ROBIN,26.0,FINISHED,68.0,18157,204,"Action, Drama, Mystery, Supernatural","Sunrise, Bandai Visual, Bandai Entertainment",ORIGINAL,SUMMER,2002-7-2,2002-12-24
8,Bouken Ou Beet,Beet the Vandel Buster,52.0,FINISHED,65.0,2555,29,"Adventure, Fantasy, Supernatural","Toei Animation, Dentsu, TV Tokyo",MANGA,FALL,2004-9-30,2005-9-29
15,Eyeshield 21,Eyeshield 21,145.0,FINISHED,76.0,28520,662,"Action, Comedy, Sports","Studio Gallop, NAS, Nihon Ad Systems, Sentai Filmworks, TV Tokyo Music, Animation Planet",MANGA,SPRING,2005-4-6,2008-3-19
16,Hachimitsu to Clover,Honey and Clover,24.0,FINISHED,76.0,49595,816,"Comedy, Drama, Romance, Slice of Life","J.C. Staff, Nomad, Genco, Viz Media, Asmik Ace, Dentsu, Discotek, Fuji TV",MANGA,SPRING,2005-4-15,2005-9-27
17,Hungry Heart: Wild Striker,,52.0,FINISHED,71.0,4066,71,"Comedy, Slice of Life, Sports","Nippon Animation, Fuji TV",MANGA,FALL,2002-9-11,2003-9-10
18,Initial D FOURTH STAGE,Initial D 4th Stage,24.0,FINISHED,80.0,39032,770,"Action, Drama, Sports","OB Planning, Funimation, A.C.G.T., Studio Jack",MANGA,SPRING,2004-4-17,2006-2-18
19,MONSTER,Monster,74.0,FINISHED,88.0,249214,17502,"Drama, Horror, Mystery, Psychological, Thriller","MADHOUSE, VAP, Viz Media, Nippon Television Network",MANGA,SPRING,2004-4-7,2005-9-28
20,NARUTO,Naruto,220.0,FINISHED,79.0,571389,27314,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural","Studio Pierrot, TV Tokyo, Aniplex, Viz Media, Shueisha, KSS, SME Visual Works, Rakuonsha",MANGA,FALL,2002-10-3,2007-2-8
21,ONE PIECE,ONE PIECE,,RELEASING,88.0,567668,82301,"Action, Adventure, Comedy, Drama, Fantasy","Toei Animation, Funimation, Fuji TV, 4Kids Entertainment, TAP, Asatsu DK, Magic Bus, Mushi Production, Studio Guts, Asahi Production, Avex Pictures",MANGA,FALL,1999-10-20,None-None-None
22,Tennis no Ouji-sama,The Prince of Tennis,178.0,FINISHED,75.0,30164,623,"Action, Comedy, Sports","Production I.G, Trans Arts, Viz Media, NAS, Funimation",MANGA,FALL,2001-10-10,2005-3-23
23,Ring ni Kakero 1,,12.0,FINISHED,60.0,1381,18,"Action, Sports","Toei Animation, Marvelous Entertainment",MANGA,FALL,2004-10-6,2004-12-15
24,School Rumble,School Rumble,26.0,FINISHED,76.0,49966,975,"Comedy, Romance, Slice of Life","TV Tokyo, Sotsu, Marvelous Entertainment, Starchild Records, Funimation, Media Factory, Studio Comet, DAX Production, Studio Jack",MANGA,FALL,2004-10-5,2005-3-29
25,Sunabouzu,Desert Punk,24.0,FINISHED,68.0,23793,304,"Action, Adventure, Comedy, Ecchi, Sci-Fi","GONZO, GDH, Funimation, Pony Canyon, CBC",MANGA,FALL,2004-10-6,2005-3-30
26,TEXHNOLYZE,Texhnolyze,22.0,FINISHED,77.0,64756,2362,"Action, Drama, Psychological, Sci-Fi","MADHOUSE, Group TAC, Funimation, Rondo Robe, Fuji TV, Pioneer LDC",ORIGINAL,SPRING,2003-4-17,2003-9-25
27,Trinity Blood,Trinity Blood,24.0,FINISHED,67.0,22779,279,"Action, Drama, Horror, Sci-Fi, Supernatural","GONZO, Funimation",LIGHT_NOVEL,SPRING,2005-4-29,2005-10-28
28,Yakitate!! Japan,,69.0,FINISHED,75.0,16901,283,Comedy,"Sunrise, TV Tokyo, Aniplex, d-rights",MANGA,FALL,2004-10-12,2006-3-14
29,Zipang,,26.0,FINISHED,71.0,5341,53,"Action, Sci-Fi","NBCUniversal Entertainment Japan, Studio DEEN, Marvelous Entertainment",MANGA,FALL,2004-10-7,2005-3-31
30,Shin Seiki Evangelion,Neon Genesis Evangelion,26.0,FINISHED,83.0,378656,30498,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi","Gainax, TV Tokyo, ADV Films, Kadokawa Shoten, NAS, Tatsunoko Production, GKids, Madman Entertainment",ORIGINAL,FALL,1995-10-3,1996-3-27
33,Kenpuu Denki Berserk,Berserk,25.0,FINISHED,84.0,131589,8122,"Action, Adventure, Drama, Fantasy, Horror, Supernatural","OLM, VAP, Media Blasters, NYAV Post, Nippon Television Network, Hakusensha",MANGA,FALL,1997-10-7,1998-3-31
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,94.0,FINISHED,79.0,75415,2168,"Action, Adventure, Comedy, Drama, Romance","Studio Gallop, Studio DEEN, SME Visual Works, Fuji TV, Media Blasters, Aniplex of America",MANGA,WINTER,1996-1-10,1998-9-8
48,.hack//SIGN,.hack//Sign,26.0,FINISHED,65.0,28849,469,"Adventure, Fantasy, Mystery, Sci-Fi","Bee Train, Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2, Bandai Entertainment",ORIGINAL,SPRING,2002-4-4,2002-9-26
50,Aa! Megami-sama! (TV),Oh! My Goddess (TV),24.0,FINISHED,69.0,21192,255,"Comedy, Romance, Supernatural","Bandai Visual, AIC, TBS, Media Blasters, NYAV Post",MANGA,WINTER,2005-1-7,2005-7-8
52,Kidou Tenshi Angelic Layer,Angelic Layer,26.0,FINISHED,69.0,9308,127,"Comedy, Drama, Sci-Fi, Sports","bones, TV Tokyo Music, Sentai Filmworks",MANGA,SPRING,2001-4-1,2001-9-23
