id,title,episodes,status,average_score,popularity,genres,studios,source,start_date,end_date
11743,Toaru Majutsu no Index Movie: Endymion no Kiseki,,finished_airing,7.41,,"Action, Fantasy, Sci-Fi, Super Power, Urban Fantasy",J.C.Staff,light_novel,2013-02-23,2013-02-23
874,Digimon Tamers,,finished_airing,7.64,,"Adventure, Comedy, Fantasy, Isekai",Toei Animation,original,2001-04-01,2002-03-31
5647,Doukyuusei 2 Special: Sotsugyousei,,finished_airing,5.12,,"Ecchi, Harem, School",,,1999-09-10,2000-03-10
2514,Meitantei Conan OVA 04: Conan to Kid to Crystal Mother,,finished_airing,7.5,,"Adventure, Detective, Mystery, Shounen",TMS Entertainment,manga,2004,2004
6988,Doraemon Movie 30: Nobita no Ningyo Daikaisen,,finished_airing,7.21,,"Adventure, Comedy, Fantasy, Kids, Shounen",Shin-Ei Animation,manga,2010-03-06,2010-03-06
5097,Hatsu Inu 2 The Animation: Strange Kind of Woman - Again,,finished_airing,7.09,,Hentai,Office Take Off,manga,2008-09-26,2008-12-26
2659,Doraemon Movie 14: Nobita to Buriki no Labyrinth,,finished_airing,7.17,,Fantasy,Shin-Ei Animation,,1993-03-06,1993-03-06
3073,Robby to Kerobby,,finished_airing,,,"Comedy, Kids",A-1 Pictures,original,2007-04-01,2008-03-30
13423,Fushigi Sekai Atagoul Monogatari,,finished_airing,5.0,,"Adventure, Anthropomorphic",,,2003-03,2003-03
5051,Macross XX,,finished_airing,5.33,,"Action, Mecha",Gonzo,original,2002-08-25,2002-08-25
2030,El Cazador de la Bruja,,finished_airing,7.2,,"Adventure, Drama, Mystery",Bee Train,original,2007-04-03,2007-09-25
277,Mahoromatic: Motto Utsukushii Mono,,finished_airing,7.13,,"Comedy, Drama, Ecchi, Military, Romance, Sci-Fi, Seinen","Gainax, Shaft",manga,2002-09-26,2003-01-16
2957,Okusama wa Mahoutsukai,,finished_airing,5.78,,Hentai,Y.O.U.C,original,2006-12-08,2007-03-09
8987,Princess Knight☆Catue,,finished_airing,6.59,,"Fantasy, Hentai",Studio 9 Maiami,visual_novel,2010-06-11,2011-11-18
3140,Ryoujoku no Machi: Kyouen no Ceremony,,finished_airing,5.51,,"Fantasy, Hentai, Military",Sonsan Kikaku,manga,2001-03-25,2001-03-25
4364,Kunoichi Bakumatsu Kitan,,finished_airing,5.84,,Hentai,Dream Entertainment,original,2003-12-25,2004-05-25
2202,Waga Seishun no Arcadia,,finished_airing,7.47,,"Action, Adult Cast, Adventure, Drama, Sci-Fi, Space",Toei Animation,manga,1982-07-28,1982-07-28
4201,Chocchan Monogatari,,finished_airing,6.7,,"Drama, Historical, Slice of Life",Triangle Staff,,1996-03-20,1996-03-20
2837,Ariel Deluxe,,finished_airing,5.65,,"Action, Comedy, Mecha, Sci-Fi",J.C.Staff,novel,1991-01-21,1991-04-21
695,Canvas: Sepia-iro no Motif,,finished_airing,5.66,,"Comedy, Romance, Slice of Life, Visual Arts",Studio Kyuuma,visual_novel,2001-12-25,2002-03-25
